univ,docs,cites,top_papers,cpp,country,cluster,tier,sim_to_ECNU
AINTREE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,905.0,58095.0,41.0,64.19,ENGLAND,0,Type-0,-0.8296891965641656
AIR FORCE ENGINEERING UNIVERSITY,3892.0,49677.0,27.0,12.7621197327852,CHINA MAINLAND,0,Type-0,-0.6012300100984351
AIR FORCE INSTITUTE OF TECHNOLOGY (AFIT),563.0,5590.0,2.0,9.93,USA,0,Type-0,-0.8299671793256538
AIR FORCE MEDICAL UNIVERSITY,16220.0,328702.0,219.0,20.26630641183724,CHINA MAINLAND,0,Type-0,0.945874553730012
AIR FORCE RES LAB,284.0,5565.0,7.0,19.6,nan,0,Type-0,-0.8441827459865501
AIR UNIVERSITY ISLAMABAD,820.0,10457.0,4.0,12.75,PAKISTAN,0,Type-0,-0.8229282836660415
AIRBUS,1120.0,19093.0,5.0,17.044785714285712,NETHERLANDS,0,Type-0,-0.814546476211485
AIRBUS FRANCE S.A.S.,340.0,4587.0,2.0,13.49,FRANCE,0,Type-0,-0.8398538560403475
AIRLANGGA UNIVERSITY,1891.0,41852.0,36.0,22.132559492332096,INDONESIA,0,Type-0,-0.7504528563628021
AIX-MARSEILLE UNIVERSITE,53508.0,1412071.0,1086.0,26.390244262540183,FRANCE,2,Type-2,0.9918551287453659
AJA UNIV MED SCI,501.0,7111.0,6.0,14.19,nan,0,Type-0,-0.8332489753892383
AJMAN UNIVERSITY,1095.0,17150.0,39.0,15.663315068493151,UNITED ARAB EMIRATES,0,Type-0,-0.7821025191196783
AJOU UNIVERSITY,12792.0,241960.0,122.0,18.916221075672297,SOUTH KOREA,0,Type-0,0.8079707439470921
AJOU UNIVERSITY HOSPITAL,537.0,15738.0,10.0,29.31,SOUTH KOREA,0,Type-0,-0.8438123110244824
AKADEMIA WYCHOWANIA FIZYCZNEGO IM. JERZEGO KUKUCZKI W KATOWICACH,532.0,5859.0,1.0,11.01,POLAND,0,Type-0,-0.8325015395644666
AKDENIZ UNIVERSITY,5412.0,52795.0,49.0,9.753643754619365,TURKIYE,0,Type-0,-0.3793867273416886
AKITA UNIVERSITY,1463.0,17967.0,9.0,12.28,JAPAN,0,Type-0,-0.7941994739647451
AKRON CHILDREN'S HOSPITAL,722.0,10397.0,10.0,14.400000000000002,USA,0,Type-0,-0.8236608168725271
AKSARAY UNIVERSITY,308.0,3975.0,1.0,12.91,TURKIYE,0,Type-0,-0.8408054884210631
AKSUM UNIV,154.0,49788.0,39.0,323.3,nan,0,Type-0,-0.9674504456908102
AKVAPLAN-NIVA,514.0,11080.0,7.0,21.557859922178984,NORWAY,0,Type-0,-0.8391611305716514
AL AIN UNIV,307.0,3816.0,4.0,12.43,nan,0,Type-0,-0.8385012287862573
AL AZHAR UNIVERSITY,12231.0,213389.0,181.0,17.44674433815714,EGYPT,0,Type-0,0.8921165829583589
AL BAHA UNIVERSITY,386.0,4239.0,7.0,10.979999999999999,SAUDI ARABIA,0,Type-0,-0.8328582775686323
AL JOUF UNIVERSITY,5721.0,84550.0,110.0,14.779304317427025,SAUDI ARABIA,0,Type-0,0.0057888023504621
AL SHIFA TRUST EYE HOSP,136.0,69439.0,62.0,510.57852941176463,nan,0,Type-0,-0.7400372415198585
AL-AHLIYYA AMMAN UNIVERSITY,413.0,4311.0,21.0,10.439999999999998,JORDAN,0,Type-0,-0.8200184056914129
AL-BALQA APPLIED UNIVERSITY,891.0,18812.0,29.0,21.113670033670033,JORDAN,0,Type-0,-0.8071361745868905
AL-FARABI KAZAKH NATIONAL UNIVERSITY,652.0,18636.0,22.0,28.579447852760737,KAZAKHSTAN,0,Type-0,-0.8299153590519002
AL-MUSTAQBAL UNIVERSITY COLLEGE,761.0,7963.0,18.0,10.46,IRAQ,0,Type-0,-0.8122282761578138
AL-NAHRAIN UNIVERSITY,306.0,4251.0,3.0,13.89,IRAQ,0,Type-0,-0.8405787978293016
AL-QUDS UNIVERSITY,303.0,17718.0,10.0,58.48,PALESTINE,0,Type-0,-0.880045326710016
ALABAMA CLIN THERAPEUT LLC,11.0,7543.0,4.0,685.73,nan,0,Type-0,-0.7262054069014939
ALAGAPPA UNIVERSITY,2202.0,48789.0,12.0,22.154559491371483,INDIA,0,Type-0,-0.7522170292739541
ALAN TURING INSTITUTE,1226.0,26782.0,54.0,21.842601957585646,ENGLAND,0,Type-0,-0.759214354275751
ALASKA DEPARTMENT OF FISH & GAME,383.0,4691.0,3.0,12.25,USA,0,Type-0,-0.8368247717036259
ALASKA NATIVE MEDICAL CENTER,62.0,8852.0,4.0,142.77,USA,0,Type-0,-0.9587415084118586
ALASKA NATIVE TRIBAL HEALTH CONSORTIUM,126.0,18015.0,14.0,142.98,USA,0,Type-0,-0.9567966155548221
ALBANY COLLEGE OF PHARMACY & HEALTH SCIENCES,417.0,10458.0,6.0,25.080167865707434,USA,0,Type-0,-0.8462160879825902
ALBANY MEDICAL COLLEGE,3020.0,68257.0,64.0,22.605649006622517,USA,0,Type-0,-0.5973931027900017
ALBANY STATE UNIVERSITY,11.0,6671.0,2.0,606.45,USA,0,Type-0,-0.7887696841958647
ALBERT EINSTEIN CENTER FOR FUNDAMENTAL PHYSICS,1811.0,74067.0,75.0,40.9,SWITZERLAND,0,Type-0,-0.6754473220706249
ALBERT EINSTEIN COLLEGE OF MEDICINE,17380.0,612981.0,522.0,35.27192635212889,USA,0,Type-0,0.9665072518781891
ALBERT SCHWEITZER ZIEKENHUIS,762.0,18088.0,24.0,23.739999999999995,NETHERLANDS,0,Type-0,-0.8194396283475777
ALBERTA AGR & FORESTRY,253.0,3617.0,0.0,14.3,nan,0,Type-0,-0.8442552599651479
ALBERTA CHILDRENS HOSPITAL,2336.0,57326.0,49.0,24.5424272260274,CANADA,0,Type-0,-0.6971509138740758
ALBERTA HEALTH SERVICES (AHS),3200.0,74359.0,82.0,23.2348875,CANADA,0,Type-0,-0.5153938481500752
ALBORZ UNIVERSITY OF MEDICAL SCIENCES,1184.0,129842.0,96.0,109.66234797297298,IRAN,0,Type-0,-0.6038443761337488
ALBUQUERQUE CLIN TRIALS,8.0,7467.0,4.0,933.38,nan,0,Type-0,-0.5762730146454915
ALCOHOL RESEARCH GROUP,231.0,2541.0,1.0,11.0,USA,0,Type-0,-0.8410748265746338
ALCORCON FOUNDATION UNIVERSITY HOSPITAL,972.0,23491.0,15.0,24.17,SPAIN,0,Type-0,-0.819387259576745
ALDER HEY CHILDREN'S HOSPITAL,562.0,14637.0,19.0,26.04,ENGLAND,0,Type-0,-0.8330687288327929
ALDER HEY CHILDREN'S NHS FOUNDATION TRUST,1432.0,32550.0,39.0,22.73,ENGLAND,0,Type-0,-0.7729660499129504
ALEX EKWUEME FED UNIV TEACHING HOSP ABAKALIKI,27.0,13104.0,8.0,485.33,nan,0,Type-0,-0.8791773169820408
ALEXANDRA HOSP,154.0,6366.0,8.0,41.34,nan,0,Type-0,-0.868714541987219
ALEXANDRA HOSPITAL,1147.0,48648.0,46.0,42.41,GREECE,0,Type-0,-0.7920553658859322
ALEXANDRIA UNIVERSITY,15325.0,274701.0,223.0,17.924699510603592,EGYPT,0,Type-0,0.9435024691760402
